complaint,department
Rotting garbage piles near the vegetable market are attracting flies and mosquitoes during this rainy season. Please update on the status of this complaint.,Garbage Collection
"The security guard at the municipal garden is always sleeping, and anti-social elements drink alcohol there. Needs fix along the commercial market lane.",Parks & Gardens
"The drainage construction work was left incomplete, leaving a massive open trench near the highway. We pay our taxes regularly for this?",Sewage & Drainage
we are getting water for only 10 minutes in the morning. how are we supposed to survive in this heat? this is happening behind the government office.,Water Supply
Rotting garbage piles near the vegetable market are attracting flies and mosquitoes during this rainy season. This is happening behind the government office.,Garbage Collection
"An abandoned old car has been parking on our street for the last two years, accumulating dirt. This is happening behind the government office.",Other
The newly installed smart signals are not working properly and causing confusion among drivers. It is worse in this scorching heat.,Traffic Signals
The gutters are completely clogged with plastic and garbage near the central bus stop.,Sewage & Drainage
Stray dogs are chasing two-wheelers and biting pedestrians near the main vegetable market area. It is worse especially at night time.,Other
"The valve man is not opening the gates properly, some houses get full force while we get nothing. Needs fix near the local children's park.",Water Supply
No toilet facilities or drinking water available for visitors inside the massive regional park. This needs to be fixed before an accident happens.,Parks & Gardens
"Buses are running extremely late, I had to wait for more than an hour to go to the hospital. Needs fix by the main vegetable market.",Public Transport
"Extremely disappointed with municipal services. The local market area lacks proper CCTV surveillance, leading to multiple pickpocketing incidents.",Other
"The walking track inside the park is completely broken, causing senior citizens to trip and fall.",Parks & Gardens
"Complaining on behalf of all residents. We requested new street lights for our village road six months ago, but still nothing has been done. Looking forward to a speedy resolution.",Street Lighting
"Water smells heavily of chlorine, it's burning our eyes when we wash our face.",Water Supply
