complaint,department,severity
There is an urgent need for a traffic signal near Green Valley Apartments entrance due to heavy cross-traffic. It is worse with the upcoming festival season.,Traffic Signals,High
The tap water is completely muddy and brown today. We can't even use it for washing. We pay our taxes regularly for this?,Water Supply,Medium
Please take strict action. Dark spots near the bus stop are encouraging anti-social elements to gather there every evening.,Street Lighting,Low
Please resolve this as soon as possible. Metro feeder buses are charging excess fares from passengers illegally during the festival season.,Public Transport,Medium
trafic signal hidden behind a massive advertisement billboard near the petrol pump junction. It's getting worse day by day.,Traffic Signals,Medium
"publik transport buses are creating heavy black smoke emissions, polluting the entire environment. Needs fix in Sunrise Housing Society.",Public Transport,Medium
This is a recurring problem. Illegal construction work going on without building permission behind Green Valley Apartments.,Other,High
Please resolve this as soon as possible. Someone dumped electronic waste and old furniture right on the pavement near the market. Please take immediate action.,Garbage Collection,High
Street lights remain turned ON during the entire afternoon. This is a huge waste of electricity. Please update on the status of this complaint.,Street Lighting,Medium
Frequent voltage fluctuations are damaging home appliances like refrigerators and ACs near the market.,Electricity,Medium
"Dear authorities, please fix this. The entire stretch from the railway station to the market is full of deep patches and potholes.",Roads & Potholes,Medium
An emergency situation has arisen. The blinking yellow cautionary light is not working during late night hours at the dangerous curve.,Traffic Signals,High
huge potholes have formed near the main vegetable market after the heavy rains yesterday. needs fix in sunrise housing society.,Roads & Potholes,Medium
High voltage line has snapped and fallen onto the wet road near the central bus stop. Emergency! No one is listening to our requests.,Electricity,Medium
public washrooms near the central bus stop are absolutely filthy and have no running water. please take immediate action.,Other,High
"Dear authorities, please fix this. We need immediate resurfacing of the main bypass lane. It is destroying our cars and bikes.",Roads & Potholes,Medium
"Water pipe burst on the main road outside the community hospital, thousands of liters being wasted right now! It's getting worse day by day.",Water Supply,High
Please resolve this as soon as possible. Main pipeline leaking near the railway station. Water is flooding the nearby shops. No one is listening to our requests.,Water Supply,Medium
"Complaining on behalf of all residents. The park benches are broken and covered in bird droppings, nobody can sit there.",Parks & Gardens,Medium
"The pedestrian crossing signal does not work, making it impossible for senior citizens to cross the highway.",Traffic Signals,Medium
"Reminder for the authority: No traffic police or functional signals near the community hospital, causing ambulance delays.",Traffic Signals,High
The sewage line is choked and dirty water is overflowing onto the street outside the vegetable market. Needs fix in the residential block C.,Sewage & Drainage,High
Bus drivers are rude and refuse to stop for disabled passengers at the designated stops. Needs fix outside the nursing home.,Public Transport,Medium
